player_id,name,name_last,name_i
100556,Nakia Sanford,Sanford,N. Sanford
100627,Kelly Miller,Miller,K. Miller
100628,Tammy Sutton-Brown,Sutton-Brown,T. Sutton-Brown
100631,Cheryl Reeve,Reeve,C. Reeve
100632,Trudi Lacey,Lacey,T. Lacey
100634,Penny Taylor,Taylor,P. Taylor
100639,Deanna Nolan,Nolan,D. Nolan
100646,Tamika Catchings,Catchings,T. Catchings
100648,Kelly Schumacher,Schumacher,K. Schumacher
100651,Kiesha Brown,Brown,K. Brown
100656,Ruth Riley,Riley,R. Riley
100658,Svetlana Abrosimova,Abrosimova,S. Abrosimova
100659,Erin Perperoglou,Perperoglou,E. Perperoglou
100660,Janell Burse,Burse,J. Burse
100666,Katie Douglas,Douglas,K. Douglas
100667,Brooke Wyckoff,Wyckoff,B. Wyckoff
100682,Lauren Jackson,Jackson,L. Jackson
100685,Marie Ferdinand-Harris,Ferdinand-Harris,M. Ferdinand-Harris
100690,Coco Miller,Miller,C. Miller
100696,Belinda Snell,Snell,B. Snell
100720,Sue Bird,Bird,S. Bird
100721,Swin Cash,Cash,S. Cash
100723,Asjha Jones,Jones,A. Jones
100724,Nikki Teasley,Teasley,N. Teasley
100729,Michelle Snow,Snow,M. Snow
100731,Hamchetou Maiga-Ba,Maiga-Ba,H. Maiga-Ba
100796,Iziane Castro Marques,Marques,I. Marques
100812,Erika de Souza,Souza,E. Souza
100834,K.B. Sharp,Sharp,K. Sharp
100835,Erin Thorn,Thorn,E. Thorn
100843,Cheryl Ford,Ford,C. Ford
100874,Kara Lawson,Lawson,K. Lawson
100878,Suzy Batkovic-Brown,Batkovic-Brown,S. Batkovic-Brown
100887,Marion Jones,Jones,M. Jones
100888,Plenette Pierson,Pierson,P. Pierson
100915,Lindsay Whalen,Whalen,L. Whalen
100919,Nicole Powell,Powell,N. Powell
100920,Kelly Mazzante,Mazzante,K. Mazzante
100928,Ebony Hoffman,Hoffman,E. Hoffman
100930,Christi Thomas,Thomas,C. Thomas
100931,Doneeka Lewis,Lewis,D. Lewis
100932,Nicole Ohlde,Ohlde,N. Ohlde
100933,Vanessa Hayden,Hayden,V. Hayden
100937,Shameka Christon,Christon,S. Christon
100940,Diana Taurasi,Taurasi,D. Taurasi
100942,Ashley Robinson,Robinson,A. Robinson
100944,Rebekkah Brunson,Brunson,R. Brunson
100945,Nuria Martinez,Martinez,N. Martinez
