player_id,name,name_last,name_i,team,end_year,window,seasons,total_poss,off_poss,def_poss,ORAPM,DRAPM,RAPM,core_alpha,off_ts_rapm,def_ts_rapm,off_tov_rapm,def_tov_rapm,off_reb_rapm,def_reb_rapm,off_ts_pts,def_ts_pts,off_tov_pts,def_tov_pts,off_reb_pts,def_reb_pts,stage2_r2
1630150,Chennedy Carter,Carter,C. Carter,LVA,2026,1Y,2026,854.0,429.3,424.7,0.79,-0.05,0.75,2000.0,0.0085,0.0014,-0.0012,0.0449,-0.5128,0.0211,1.42,0.15,-0.0,0.08,-0.31,-0.03,0.9292
1642782,Sarah Ashlee Barker,Barker,S. Barker,POR,2026,1Y,2026,2155.6,1076.4,1079.2,-0.65,1.35,0.7,2000.0,0.0012,0.0033,-0.5226,0.4008,-0.1692,-0.0595,0.2,0.35,-1.07,0.75,-0.1,0.1,0.9292
1630442,Natasha Mack,Mack,N. Mack,PHO,2026,1Y,2026,1989.7,998.8,990.9,-0.58,1.25,0.67,2000.0,-0.0067,0.0009,-0.2742,0.5158,1.516,-0.0808,-1.12,0.1,-0.56,0.97,0.93,0.13,0.9292
202252,Alysha Clark,Clark,A. Clark,DAL,2026,1Y,2026,699.6,345.3,354.3,0.1,0.56,0.66,2000.0,-0.0009,0.0007,0.0614,0.3328,-0.1551,0.0243,-0.15,0.07,0.13,0.62,-0.1,-0.04,0.9292
1642822,Kaitlyn Chen,Chen,K. Chen,GSV,2026,1Y,2026,1621.1,810.7,810.4,0.31,0.35,0.66,2000.0,0.0026,0.0027,0.058,-0.025,-0.0961,-0.0558,0.43,0.29,0.12,-0.05,-0.06,0.09,0.9292
1631021,Sika Koné,Koné,S. Koné,ATL,2026,1Y,2026,533.3,262.2,271.1,0.31,0.33,0.64,2000.0,-0.0014,0.0001,0.1094,0.5692,0.5872,0.1913,-0.23,0.01,0.22,1.06,0.36,-0.32,0.9292
1629546,Marine Johannès,Johannès,M. Johannès,NYL,2026,1Y,2026,2378.0,1200.4,1177.6,0.14,0.47,0.61,2000.0,0.004,0.0051,-0.1657,-0.2803,-0.5931,-0.6792,0.67,0.54,-0.34,-0.52,-0.36,1.12,0.9292
1630149,Satou Sabally,Sabally,S. Sabally,NYL,2026,1Y,2026,791.2,390.2,401.0,0.73,-0.12,0.6,2000.0,0.0046,0.0017,-0.096,-0.7587,-0.1569,-0.6749,0.77,0.18,-0.2,-1.42,-0.1,1.11,0.9292
1642801,Aaliyah Nye,Nye,A. Nye,ATL,2026,1Y,2026,92.3,45.7,46.6,0.85,-0.25,0.6,2000.0,0.0039,-0.0003,0.064,-0.1391,0.43,0.0314,0.65,-0.03,0.13,-0.26,0.26,-0.05,0.9292
204335,Betnijah Laney-Hamilton,Laney-Hamilton,B. Laney-Hamilton,NYL,2026,1Y,2026,1102.8,552.6,550.2,0.17,0.42,0.58,2000.0,0.0101,0.0029,-0.4398,-0.2763,-0.8617,-0.3474,1.68,0.31,-0.9,-0.52,-0.53,0.57,0.9292
1642287,Cameron Brink,Brink,C. Brink,LAS,2026,1Y,2026,1655.9,829.3,826.6,0.01,0.56,0.58,2000.0,0.0039,0.0016,-0.4098,0.3881,0.6955,0.2511,0.65,0.17,-0.84,0.73,0.43,-0.41,0.9292
1628242,Emma Cannon,Cannon,E. Cannon,LAS,2026,1Y,2026,280.4,143.0,137.5,0.64,-0.07,0.57,2000.0,0.0052,0.0013,0.1117,-0.1187,-0.2768,-0.1574,0.87,0.14,0.23,-0.22,-0.17,0.26,0.9292
1641656,Laeticia Amihere,Amihere,L. Amihere,GSV,2026,1Y,2026,1126.8,568.0,558.7,-0.11,0.65,0.54,2000.0,-0.0012,0.0025,-0.2098,0.0739,0.8878,0.0168,-0.2,0.26,-0.43,0.14,0.54,-0.03,0.9292
94790260,Marine Fauthoux,Fauthoux,M. Fauthoux,NYL,2026,1Y,2026,749.3,375.7,373.5,0.19,0.35,0.53,2000.0,0.0001,0.0002,-0.0526,-0.5439,1.0767,-0.5646,0.02,0.02,-0.11,-1.02,0.66,0.93,0.9292
1642304,Carla Leite,Leite,C. Leite,POR,2026,1Y,2026,2555.4,1282.5,1272.9,1.21,-0.72,0.49,2000.0,0.0111,-0.0004,-0.0297,-0.0956,-1.0241,0.5838,1.85,-0.04,-0.06,-0.18,-0.63,-0.96,0.9292
