name,season,team,games,minutes,poss,pts,fg2a,fg3a,fta,orb,drb,ast,stl,blk,tov,pf,pts100,fg2a100,fg3a100,fta100,orb100,drb100,ast100,stl100,blk100,tov100,pf100,dre,dre_rapm_scale,dre_total,dre_rank
Kiki Iriafen,2026,WSH,26,719.0,1439.4360368095295,392.0,267.0,33.0,126.0,74.0,163.0,39.0,15.0,10.0,42.0,78.0,27.232887740455443,18.548931190565312,2.2925645291709937,8.753428202289248,5.1409022775349555,11.323879341056726,2.70939444356572,1.0420747859868154,0.6947165239912102,2.917809400763083,5.41878888713144,2.978,1.119,42.87,65
Shakira Austin,2026,WSH,27,799.0,1587.5855034522663,419.0,284.0,36.0,153.0,52.0,202.0,70.0,18.0,35.0,78.0,50.0,26.39227928756393,17.88880028083092,2.267594401795469,9.637276207630743,3.2754141359267885,12.723724143407908,4.409211336824523,1.1337972008977344,2.2046056684122615,4.913121203890182,3.1494366691603735,2.975,1.118,47.23,66
Antonia Delaere,2026,MIN,30,380.0,778.2671038793671,105.0,24.0,51.0,6.0,7.0,17.0,38.0,15.0,0.0,14.0,34.0,13.491512037013347,3.0837741798887657,6.553020132263626,0.7709435449721914,0.8994341358008899,2.1843400440878757,4.882642451490545,1.9273588624304783,0.0,1.7988682716017799,4.3686800881757515,2.927,1.1,22.78,67
Sarah Ashlee Barker,2026,POR,26,643.0,1303.677077001925,278.0,125.0,90.0,35.0,21.0,96.0,62.0,23.0,9.0,52.0,64.0,21.32429916151617,9.588264011473099,6.903550088260631,2.6847139232124673,1.6108283539274804,7.3637867608113385,4.755778949690657,1.76424057811105,0.690355008826063,3.988717828772809,4.909191173874226,2.801,1.053,36.52,68
Aneesah Morrow,2026,CON,20,464.0,961.1412731565814,231.0,149.0,67.0,48.0,53.0,125.0,33.0,19.0,9.0,34.0,42.0,24.033927836784024,15.502403669613937,6.970879502443851,4.994062927123953,5.5142778153660315,13.005372206051963,3.433418262397718,1.9768165753198983,0.9363867988357413,3.5374612400461336,4.369805061233459,2.796,1.051,26.87,69
Arike Ogunbowale,2026,DAL,29,868.0,1760.943576135981,437.0,208.0,157.0,115.0,26.0,64.0,87.0,28.0,2.0,42.0,67.0,24.816240901875133,11.811849216453153,8.915674648957427,6.530589711019773,1.476481152056644,3.6344151435240475,4.940533085728002,1.5900566252917705,0.11357547323512648,2.385084937937656,3.8047783533767365,2.773,1.042,48.83,70
Natasha Cloud,2026,CHI,28,791.0,1667.8685085461839,277.0,112.0,89.0,80.0,7.0,81.0,129.0,29.0,9.0,62.0,91.0,16.608023868827054,6.7151576653741145,5.3361520733776455,4.796541189552939,0.41969735408588216,4.856497954422352,7.734422668154115,1.7387461812129406,0.5396108838247057,3.7173194219035284,5.4560656031164685,2.727,1.025,45.48,71
Karlie Samuelson,2026,POR,17,250.0,501.2650149253731,77.0,5.0,48.0,17.0,8.0,12.0,16.0,8.0,3.0,6.0,23.0,15.361135867713315,0.9974763550463192,9.575773008444664,3.3914196071574856,1.595962168074111,2.393943252111166,3.191924336148222,1.595962168074111,0.5984858130277915,1.196971626055583,4.588391233213068,2.711,1.019,13.59,72
Marine Johannes,2026,NY,28,620.0,1257.7964643188975,246.0,47.0,161.0,20.0,13.0,55.0,70.0,26.0,4.0,47.0,51.0,19.558013317616542,3.736693601333242,12.800163187545788,1.5900823835460605,1.0335535493049393,4.372726554751667,5.565288342411212,2.0671070986098785,0.3180164767092121,3.736693601333242,4.054710078042454,2.701,1.015,33.97,73
Azura Stevens,2026,CHI,22,555.0,1175.9172010644452,256.0,145.0,80.0,58.0,30.0,121.0,55.0,23.0,11.0,39.0,63.0,21.77024026591904,12.330800150618206,6.8032000830997,4.9323200602472825,2.5512000311623875,10.289840125688295,4.677200057131044,1.9559200238911636,0.9354400114262088,3.3165600405111038,5.357520065441014,2.556,0.961,30.06,74
Jade Melbourne,2026,SEA,30,722.0,1490.133596738687,263.0,125.0,61.0,99.0,13.0,47.0,117.0,29.0,4.0,56.0,93.0,17.649424224485845,8.388509612398215,4.093592690850328,6.643699613019385,0.8724049996894143,3.154079614261729,7.851644997204729,1.9461342300763858,0.26843230759674286,3.7580523063544002,6.241051151624272,2.544,0.956,37.91,75
